Meso,Epi,Mast,Club,SMC,Macro,B,Den,Stroma,Macro (alv),NK,T (CD4+),T (CD8+),Pericyte,Myeloid,Neutrophil,Den (plas),Plasma,T (reg),Mono,Mono (non),Den (conv),Malignant,Pneu (type II),Pneu (type I),Endo (ves),Endo (capi),Den (CD1c+),Endo (vein),Fibro,Epi (ciliated),Endo (artery),Fibro (bron)
0,88,25,3,9,1223,4,5,0,99,7,9,4,0,9,0,0,18,1,477,11,0,66,21,3322,64,3,31,97,36,164,27,0
0,71,1,0,0,263,4,1,0,1642,3,31,0,0,18,0,0,8,0,152,21,1,10,57,2685,24,0,38,44,9,2,4,0
1,562,24,6,284,7,4,3,0,2,305,17,205,146,0,76,3,2,0,16,5,0,172,106,225,16,434,5,106,107,179,19,16
1,67,6,221,28,14,2,1,0,3,353,8,16,350,0,0,6,0,0,8,3,0,110,99,355,19,1067,0,22,93,316,27,5
1,150,15,22,72,10,8,0,1,5,491,14,52,118,2,4,1,2,0,1,1,2,167,210,267,8,98,5,10,192,24,1,65
0,29,15,0,4,24,98,8,0,8,520,491,524,3,4,238,43,8,67,146,19,11,119,16,17,0,0,55,7,10,9,2,1
4,41,79,13,4,482,150,6,0,1068,826,728,1115,5,55,3592,37,196,261,413,97,16,2131,21,69,10,6,170,21,29,61,9,20
2,17,29,21,0,821,156,5,0,1119,598,607,1288,4,49,505,25,29,147,308,120,4,337,21,63,9,1,191,19,22,29,3,7
16,182,138,81,1,786,462,42,0,2480,2028,2789,1068,3,143,1212,139,10,633,969,295,54,242,5,20,4,2,489,54,8,168,26,0
0,50,51,7,0,763,166,4,0,551,950,2185,1747,1,41,205,9,256,215,167,15,3,744,3,36,1,0,63,11,0,14,6,3
3,23,41,4,3,239,491,3,0,310,999,1611,2146,8,21,405,12,424,643,153,50,8,470,3,4,9,0,60,16,9,33,8,11
0,37,207,10,6,385,34,7,0,1324,537,2014,1432,2,35,532,18,32,387,143,47,2,23,16,30,6,1,102,17,10,41,8,1
0,325,101,12,4,421,678,14,0,449,761,1715,2031,1,51,767,75,54,420,383,102,3,581,3,69,13,9,216,37,7,92,13,1
